302.400	1.74	1.99
310.000	1.73	1.98
317.900	1.72	1.98
326.300	1.69	1.99
335.100	1.66	2.02
344.400	1.64	2.07
354.200	1.63	2.11
364.700	1.62	2.17
375.700	1.61	2.23
387.500	1.61	2.3
400.000	1.61	2.36
413.300	1.61	2.44
427.500	1.62	2.52
442.800	1.62	2.61
459.200	1.64	2.71
476.900	1.66	2.81
495.900	1.67	2.93
516.600	1.71	3.06
539.100	1.75	3.19
563.600	1.8	3.33
590.400	1.85	3.48
619.900	1.93	3.65
636.000	1.98	3.74
653.000	2.02	3.82
670.000	2.08	3.91
689.000	2.14	4
709.000	2.21	4.09
729.000	2.28	4.18
751.000	2.36	4.25
775.000	2.43	4.31
800.000	2.48	4.38
827.000	2.53	4.47
855.000	2.59	4.55
886.000	2.65	4.63
918.000	2.69	4.73
954.000	2.74	4.85
992.000	2.8	4.97
1033.000	2.85	5.1
1078.000	2.91	5.24
1127.000	2.97	5.38
1181.000	3.01	5.55
1240.000	3.06	5.74
1305.000	3.11	5.98
1378.000	3.18	6.23
1459.000	3.27	6.51
1550.000	3.38	6.82
1653.000	3.49	7.13
1771.000	3.59	7.48
1907.000	3.69	7.92
2066.000	3.84	8.35
2254.000	3.9	8.92
2480.000	4.03	9.64
2755.000	4.2	10.2
3100.000	3.84	11.4
3263.000	3.92	12.1
3444.000	4	12.7
3647.000	4.07	13.4
3875.000	4.12	14.2
4133.000	4.19	15
4428.000	4.3	16
4769.000	4.29	17.1
5166.000	4.16	18.4
5636.000	4.11	20.2
6199.000	4.12	22.5
6526.000	4.3	23.8
6888.000	4.45	25.2
7293.000	4.68	26.8
7749.000	5	28.6
8266.000	5.45	30.6
8856.000	5.83	32.8
9537.000	6.44	35.3
10330.000	7.11	38.3
11270.000	8.12	41.8
12400.000	9.54	45.8
