lambda_m ,Eph_J,a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
2.7600000000000000E-07,7.1972564400000000E-19,3.6584307580174900E-02,2.1794080000000000E-02,1.0109010000000000E-02,9.0696090000000000E-03,6.6849390000000000E-03,8.0955840000000000E-04,3.9488660000000000E-04,4.9091930000000000E-04,7.7720850000000000E-04
2.7700000000000000E-07,7.1712735647653400E-19,3.5752140568099000E-02,2.1287430000000000E-02,1.1229850000000000E-02,1.0023670000000000E-02,6.6052650000000000E-03,9.1709040000000000E-04,3.9463060000000000E-04,5.1972670000000000E-04,8.2284100000000000E-04
2.7800000000000000E-07,7.1454776166906500E-19,3.5936055353241100E-02,2.0780410000000000E-02,1.2350320000000000E-02,1.0977730000000000E-02,4.6825490000000000E-03,8.5043080000000000E-04,4.1108270000000000E-04,5.6602830000000000E-04,8.9611510000000000E-04
2.7900000000000000E-07,7.1198665858064500E-19,3.6859276239067000E-02,2.0257320000000000E-02,9.3887320000000000E-03,7.4363650000000000E-03,3.1413210000000000E-03,6.9559780000000000E-04,1.3011770000000000E-03,8.4951230000000000E-04,1.3449740000000000E-03
2.8000000000000000E-07,7.0944384908571400E-19,3.2241332847778500E-02,1.9734230000000000E-02,6.4271460000000000E-03,3.8946310000000000E-03,2.1232460000000000E-03,6.8485920000000000E-04,2.1302160000000000E-03,2.4605240000000000E-03,3.8956930000000000E-03
2.8100000000000000E-07,7.0691913787900400E-19,3.7842120174799700E-02,2.1556640000000000E-02,8.5919840000000000E-03,7.2781450000000000E-03,4.4078760000000000E-03,7.5206670000000000E-04,8.0319070000000000E-04,1.1907200000000000E-03,1.8852070000000000E-03
2.8200000000000000E-07,7.0441233242553200E-19,3.8186746355685100E-02,2.3379060000000000E-02,1.0756820000000000E-02,1.0661660000000000E-02,7.3001350000000000E-03,1.0637050000000000E-03,5.0347030000000000E-04,4.4111170000000000E-04,6.9836230000000000E-04
2.8300000000000000E-07,7.0192324291166100E-19,3.6965935860058300E-02,2.4217750000000000E-02,1.2991580000000000E-02,1.2086010000000000E-02,8.7167960000000000E-03,1.1076460000000000E-03,4.2278200000000000E-04,5.3212440000000000E-04,8.4247050000000000E-04
2.8400000000000000E-07,6.9945168219718300E-19,3.5934274052478100E-02,2.5056450000000000E-02,1.5226690000000000E-02,1.3510720000000000E-02,8.5599960000000000E-03,1.0104500000000000E-03,4.6234010000000000E-04,5.5312460000000000E-04,8.7568420000000000E-04
2.8500000000000000E-07,6.9699746576842100E-19,3.5343457725947500E-02,2.4337200000000000E-02,1.4902970000000000E-02,1.3015280000000000E-02,2.9373710000000000E-03,5.4996940000000000E-04,3.4162200000000000E-04,6.8310150000000000E-04,1.0814860000000000E-03
2.8600000000000000E-07,6.9456041169230800E-19,3.5461519679300200E-02,2.3617960000000000E-02,1.4579240000000000E-02,1.2519840000000000E-02,8.0219260000000000E-03,7.0798010000000000E-04,4.6504560000000000E-04,6.6972780000000000E-04,1.0603260000000000E-03
2.8700000000000000E-07,6.9214034057142900E-19,3.5308607142857100E-02,2.3887170000000000E-02,1.5187360000000000E-02,1.3160380000000000E-02,9.3276260000000000E-03,1.2793540000000000E-03,6.2558130000000000E-04,6.9427020000000000E-04,1.0991850000000000E-03
2.8800000000000000E-07,6.8973707550000000E-19,3.5524358600583100E-02,2.4156390000000000E-02,1.5795490000000000E-02,1.3800550000000000E-02,5.9438650000000000E-03,1.3492640000000000E-03,5.9560200000000000E-04,7.2752350000000000E-04,1.1518100000000000E-03
2.8900000000000000E-07,6.8735044202076100E-19,3.5312744897959200E-02,2.4709430000000000E-02,1.6980050000000000E-02,1.5877470000000000E-02,1.0516180000000000E-02,1.9047490000000000E-03,7.9821860000000000E-04,6.5501690000000000E-04,1.0370550000000000E-03
2.9000000000000000E-07,6.8498026808275900E-19,3.6413673469387700E-02,2.5262470000000000E-02,1.8164610000000000E-02,1.7954020000000000E-02,1.5387180000000000E-02,2.7674150000000000E-03,8.3269480000000000E-04,7.4263210000000000E-04,1.1757730000000000E-03
2.9100000000000000E-07,6.8262638400000000E-19,3.6704293216630200E-02,2.6026650000000000E-02,1.8638720000000000E-02,1.7914650000000000E-02,1.5075760000000000E-02,3.0634580000000000E-03,9.4124200000000000E-04,8.1300610000000000E-04,1.2872140000000000E-03
2.9200000000000000E-07,6.8028862241095900E-19,3.7533164723032100E-02,2.6790470000000000E-02,1.9112480000000000E-02,1.7875640000000000E-02,1.4439470000000000E-02,3.0965860000000000E-03,1.0284750000000000E-03,1.0275260000000000E-03,1.6267810000000000E-03
2.9300000000000000E-07,6.7796681823890800E-19,3.5515638949671800E-02,2.6326920000000000E-02,1.8796400000000000E-02,1.7811480000000000E-02,1.4716320000000000E-02,2.9500810000000000E-03,9.9052510000000000E-04,1.0436460000000000E-03,1.6523460000000000E-03
2.9400000000000000E-07,6.7566080865306100E-19,3.5731148796498900E-02,2.5863740000000000E-02,1.8480680000000000E-02,1.7747310000000000E-02,1.2760500000000000E-02,2.9783890000000000E-03,9.6398240000000000E-04,1.0840920000000000E-03,1.7163700000000000E-03
2.9500000000000000E-07,6.7337043303050800E-19,3.5510592997811800E-02,2.6131120000000000E-02,1.8709730000000000E-02,1.7484830000000000E-02,1.2896560000000000E-02,2.9933280000000000E-03,1.0292420000000000E-03,6.5555910000000000E-04,1.0378920000000000E-03
2.9600000000000000E-07,6.7109553291891900E-19,3.6939306345733000E-02,2.6398880000000000E-02,1.8938780000000000E-02,1.7221980000000000E-02,1.5542890000000000E-02,3.0626540000000000E-03,1.0060630000000000E-03,8.9498260000000000E-04,1.4169730000000000E-03
2.9700000000000000E-07,6.6883595200000000E-19,3.6147816921954700E-02,2.6475220000000000E-02,1.9104460000000000E-02,1.7404990000000000E-02,1.0767940000000000E-02,2.3484640000000000E-03,9.5436710000000000E-04,6.3564330000000000E-04,1.0063540000000000E-03
2.9800000000000000E-07,6.6659153605369100E-19,3.6103547445255500E-02,2.6551210000000000E-02,1.9270520000000000E-02,1.7588000000000000E-02,1.3988350000000000E-02,2.7810760000000000E-03,1.0681790000000000E-03,7.7096960000000000E-04,1.2206410000000000E-03
2.9900000000000000E-07,6.6436213292307700E-19,3.6746242888402700E-02,2.7104610000000000E-02,1.9578220000000000E-02,1.7824600000000000E-02,1.4723960000000000E-02,2.4193980000000000E-03,1.1404220000000000E-03,1.0273810000000000E-03,1.6265620000000000E-03
3.0000000000000000E-07,6.6214759248000000E-19,3.6698957664233600E-02,2.7657660000000000E-02,1.9886280000000000E-02,1.8061200000000000E-02,9.0263950000000000E-03,2.1421300000000000E-03,1.1448460000000000E-03,9.8671810000000000E-04,1.5622100000000000E-03
3.0100000000000000E-07,6.5994776659136200E-19,3.6988939416058400E-02,2.7896920000000000E-02,1.9965300000000000E-02,1.8164370000000000E-02,1.1992510000000000E-02,2.2122230000000000E-03,1.2246200000000000E-03,9.8144100000000000E-04,1.5538340000000000E-03
3.0200000000000000E-07,6.5776250908609300E-19,3.6314524087591200E-02,2.8135820000000000E-02,2.0044320000000000E-02,1.8267550000000000E-02,7.8913200000000000E-03,2.1652510000000000E-03,1.1034230000000000E-03,8.1994580000000000E-04,1.2981760000000000E-03
3.0300000000000000E-07,6.5559167572277200E-19,3.6514105109489000E-02,2.8074810000000000E-02,2.0920820000000000E-02,1.9053180000000000E-02,1.5826660000000000E-02,3.2395850000000000E-03,1.5606450000000000E-03,1.0899840000000000E-03,1.7256930000000000E-03
3.0400000000000000E-07,6.5343512415789500E-19,3.6216640145985400E-02,2.8013440000000000E-02,2.1797680000000000E-02,1.9838450000000000E-02,1.3577250000000000E-02,3.5045070000000000E-03,1.5309580000000000E-03,1.3302030000000000E-03,2.1060490000000000E-03
3.0500000000000000E-07,6.5129271391475400E-19,3.5645350364963500E-02,2.7908610000000000E-02,2.1947700000000000E-02,1.9732720000000000E-02,1.6321800000000000E-02,3.7358610000000000E-03,1.5898930000000000E-03,1.1525150000000000E-03,1.8247160000000000E-03
3.0600000000000000E-07,6.4916430635294100E-19,3.5383440145985400E-02,2.7804140000000000E-02,2.2097730000000000E-02,1.9626640000000000E-02,1.2712120000000000E-02,3.2774260000000000E-03,1.4469790000000000E-03,8.8001860000000000E-04,1.3932650000000000E-03
3.0700000000000000E-07,6.4704976463843600E-19,3.5410541514930800E-02,2.8267680000000000E-02,2.2342430000000000E-02,1.9745850000000000E-02,1.5625840000000000E-02,3.6551390000000000E-03,1.6136200000000000E-03,9.1988630000000000E-04,1.4563780000000000E-03
3.0800000000000000E-07,6.4494895371428600E-19,3.5492643845593600E-02,2.8730870000000000E-02,2.2587510000000000E-02,1.9864700000000000E-02,1.4482400000000000E-02,4.4309480000000000E-03,1.9004720000000000E-03,1.1542860000000000E-03,1.8275200000000000E-03
3.0900000000000000E-07,6.4286174027184500E-19,3.4917888565185700E-02,2.8462020000000000E-02,2.2587510000000000E-02,1.9954740000000000E-02,1.2307200000000000E-02,4.1482380000000000E-03,1.8327990000000000E-03,1.3200100000000000E-03,2.0898430000000000E-03
3.1000000000000000E-07,6.4078799272258100E-19,3.5065802257829600E-02,2.8192800000000000E-02,2.2587510000000000E-02,2.0045160000000000E-02,1.0979670000000000E-02,3.7877280000000000E-03,2.1124110000000000E-03,1.3747330000000000E-03,2.1764820000000000E-03
3.1100000000000000E-07,6.3872758117041800E-19,3.5230900218499600E-02,2.8254170000000000E-02,2.3061260000000000E-02,2.0384930000000000E-02,1.5507240000000000E-02,5.8101630000000000E-03,2.8085540000000000E-03,1.9422790000000000E-03,3.0750740000000000E-03
3.1200000000000000E-07,6.3668037738461500E-19,3.4335318529304700E-02,2.8315540000000000E-02,2.3535010000000000E-02,2.0724700000000000E-02,1.5453400000000000E-02,5.2604490000000000E-03,2.6166120000000000E-03,1.7027110000000000E-03,2.6957740000000000E-03
3.1300000000000000E-07,6.3464625477316300E-19,3.4408914056809900E-02,2.8584390000000000E-02,2.3685040000000000E-02,2.0791420000000000E-02,1.5672040000000000E-02,4.9477880000000000E-03,2.8250790000000000E-03,1.3962390000000000E-03,2.2106070000000000E-03
3.1400000000000000E-07,6.3262508835668800E-19,3.5068244355426100E-02,2.8853600000000000E-02,2.3835430000000000E-02,2.0857770000000000E-02,1.6004930000000000E-02,5.5588650000000000E-03,3.2707840000000000E-03,9.5682640000000000E-04,1.5148660000000000E-03
3.1500000000000000E-07,6.3061675474285700E-19,3.4827016381507100E-02,2.8913510000000000E-02,2.3685040000000000E-02,2.1053900000000000E-02,1.6183920000000000E-02,5.4759510000000000E-03,3.3797330000000000E-03,1.6706150000000000E-03,2.6449340000000000E-03
3.1600000000000000E-07,6.2862113210126600E-19,3.3892900946831700E-02,2.8973050000000000E-02,2.3535010000000000E-02,2.1250040000000000E-02,1.4357970000000000E-02,4.9382910000000000E-03,3.7997000000000000E-03,1.7001090000000000E-03,2.6916960000000000E-03
3.1700000000000000E-07,6.2663810013880100E-19,3.4438926101201300E-02,2.9031500000000000E-02,2.3772070000000000E-02,2.0897140000000000E-02,1.6695790000000000E-02,6.2148690000000000E-03,4.7798790000000000E-03,1.1004660000000000E-03,1.7423000000000000E-03
3.1800000000000000E-07,6.2466754007547200E-19,3.3230007647487300E-02,2.9089940000000000E-02,2.4009120000000000E-02,2.0544240000000000E-02,1.6771100000000000E-02,6.3076450000000000E-03,4.9341630000000000E-03,1.5119030000000000E-03,2.3936830000000000E-03
3.1900000000000000E-07,6.2270933462069000E-19,3.3735548434085900E-02,2.9089940000000000E-02,2.4403860000000000E-02,2.1313840000000000E-02,1.6445130000000000E-02,5.9968100000000000E-03,4.4694830000000000E-03,1.6589760000000000E-03,2.6265430000000000E-03
3.2000000000000000E-07,6.2076336795000000E-19,3.4174798325445900E-02,2.9089940000000000E-02,2.4798950000000000E-02,2.2083790000000000E-02,1.6957370000000000E-02,6.2912080000000000E-03,4.2801010000000000E-03,2.2072570000000000E-03,3.4946160000000000E-03
3.2100000000000000E-07,6.1882952568224300E-19,3.3589507462686500E-02,2.8777260000000000E-02,2.4403860000000000E-02,2.1993380000000000E-02,1.6442950000000000E-02,5.9982710000000000E-03,4.0808480000000000E-03,2.1044980000000000E-03,3.3318980000000000E-03
3.2200000000000000E-07,6.1690769485714300E-19,3.3571992355296700E-02,2.8464940000000000E-02,2.4009120000000000E-02,2.1903340000000000E-02,1.5928530000000000E-02,5.7053340000000000E-03,3.8812290000000000E-03,2.0017020000000000E-03,3.1691800000000000E-03
3.2300000000000000E-07,6.1499776391331300E-19,3.2923428467419000E-02,2.8285580000000000E-02,2.4009120000000000E-02,2.2086350000000000E-02,1.7680980000000000E-02,6.5238780000000000E-03,4.4384070000000000E-03,2.2889450000000000E-03,3.6239380000000000E-03
3.2400000000000000E-07,6.1309962266666700E-19,3.2929593010557000E-02,2.8106230000000000E-02,2.4009120000000000E-02,2.2269360000000000E-02,1.9433070000000000E-02,7.3427860000000000E-03,4.9952180000000000E-03,2.5761880000000000E-03,4.0788790000000000E-03
3.2500000000000000E-07,6.1121316228923100E-19,3.3213032751091700E-02,2.9203915000000000E-02,2.5520320000000000E-02,2.4048245000000000E-02,1.9738485000000000E-02,8.2265285000000000E-03,5.3725195000000000E-03,2.5048380000000000E-03,3.9657995000000000E-03
3.2600000000000000E-07,6.0933827528834400E-19,3.3429611576265000E-02,3.0301600000000000E-02,2.7031520000000000E-02,2.5827130000000000E-02,2.0043900000000000E-02,9.1102710000000000E-03,5.7498210000000000E-03,2.4334880000000000E-03,3.8527200000000000E-03
3.2700000000000000E-07,6.0747485548623900E-19,3.3401945394976300E-02,3.1059930000000000E-02,2.8502660000000000E-02,2.3481890000000000E-02,2.1750880000000000E-02,1.0263030000000000E-02,5.9933110000000000E-03,2.3495240000000000E-03,1.5916000000000000E-02
3.2800000000000000E-07,6.0562279800000000E-19,3.3015337336244500E-02,2.7017670000000000E-02,2.4231980000000000E-02,2.4905520000000000E-02,1.9364310000000000E-02,9.0993140000000000E-03,5.7702940000000000E-03,2.6919240000000000E-03,5.6583520000000000E-03
3.2900000000000000E-07,6.0378199922188500E-19,3.3314721514379300E-02,3.0239130000000000E-02,2.8452050000000000E-02,2.6169820000000000E-02,2.0499020000000000E-02,9.7030850000000000E-03,6.4488510000000000E-03,2.9503590000000000E-03,6.1929760000000000E-03
3.3000000000000000E-07,6.0195235680000000E-19,3.3496275836972300E-02,3.1703570000000000E-02,2.8290000000000000E-02,2.5455280000000000E-02,2.1772340000000000E-02,1.1235340000000000E-02,7.2736490000000000E-03,2.7109720000000000E-03,2.2866490000000000E-03
3.3100000000000000E-07,6.0013376961933500E-19,3.3203901382823900E-02,3.0223790000000000E-02,2.7948800000000000E-02,2.5230710000000000E-02,2.0956330000000000E-02,1.0155640000000000E-02,6.2835990000000000E-03,2.3494870000000000E-03,2.7844170000000000E-03
3.3200000000000000E-07,5.9832613778313300E-19,3.3087401018922900E-02,2.9685000000000000E-02,2.8378130000000000E-02,2.5128630000000000E-02,2.0840270000000000E-02,9.4985410000000000E-03,6.5402520000000000E-03,3.2169280000000000E-03,8.8435190000000000E-03
3.3300000000000000E-07,5.9652936259459500E-19,3.2725778748180500E-02,2.9398610000000000E-02,2.7980480000000000E-02,2.4730160000000000E-02,2.0029350000000000E-02,9.7933040000000000E-03,6.4386150000000000E-03,2.9921790000000000E-03,3.4260030000000000E-03
3.3400000000000000E-07,5.9474334653892200E-19,3.2204831816527100E-02,3.0222700000000000E-02,2.7024970000000000E-02,2.4769900000000000E-02,1.9731390000000000E-02,9.3104320000000000E-03,6.6839330000000000E-03,3.4450380000000000E-03,1.7667010000000000E-03
3.3500000000000000E-07,5.9296799326567200E-19,3.2023820960698700E-02,2.8989850000000000E-02,2.9106420000000000E-02,2.3983540000000000E-02,2.0792610000000000E-02,9.8236210000000000E-03,7.2955850000000000E-03,3.3295190000000000E-03,1.1314520000000000E-02
3.3600000000000000E-07,5.9120320757142900E-19,3.2069366448326100E-02,2.9437700000000000E-02,2.8602800000000000E-02,2.3421740000000000E-02,1.9624800000000000E-02,8.9031690000000000E-03,6.0682590000000000E-03,2.6746460000000000E-03,8.1566650000000000E-03
3.3700000000000000E-07,5.8944889538278900E-19,3.2182731441048000E-02,2.8887940000000000E-02,2.6817040000000000E-02,2.3758600000000000E-02,1.8829150000000000E-02,7.6821120000000000E-03,5.6251500000000000E-03,3.0233360000000000E-03,5.0720130000000000E-03
3.3800000000000000E-07,5.8770496373964500E-19,3.2046939592430900E-02,2.8133260000000000E-02,2.7803140000000000E-02,2.4861770000000000E-02,1.7733000000000000E-02,8.5039430000000000E-03,5.8924050000000000E-03,3.1165170000000000E-03,1.6653480000000000E-03
3.3900000000000000E-07,5.8597132077876100E-19,3.2188286026200900E-02,2.9100170000000000E-02,2.7945520000000000E-02,2.5674740000000000E-02,1.9710290000000000E-02,9.7008930000000000E-03,6.4737120000000000E-03,3.7709920000000000E-03,7.3867770000000000E-03
3.4000000000000000E-07,5.8424787571764700E-19,3.2402026200873400E-02,2.9336150000000000E-02,2.8542360000000000E-02,2.5275910000000000E-02,2.1138960000000000E-02,1.0172080000000000E-02,7.0151680000000000E-03,3.8931610000000000E-03,7.7404010000000000E-03
3.4100000000000000E-07,5.8253453883871000E-19,3.2201300582241600E-02,3.0377940000000000E-02,2.8440760000000000E-02,2.5231430000000000E-02,2.1252830000000000E-02,9.4799120000000000E-03,6.4726150000000000E-03,3.5993400000000000E-03,8.0852840000000000E-03
3.4200000000000000E-07,5.8083122147368400E-19,3.2103614264919900E-02,3.0350550000000000E-02,2.8359560000000000E-02,2.5065560000000000E-02,2.0421530000000000E-02,9.7019890000000000E-03,6.8246900000000000E-03,3.8038840000000000E-03,6.4566460000000000E-03
3.4300000000000000E-07,5.7913783598833800E-19,3.2344067321688500E-02,2.9355140000000000E-02,2.9053620000000000E-02,2.4067750000000000E-02,2.1426730000000000E-02,1.0145780000000000E-02,7.1811520000000000E-03,3.4945560000000000E-03,4.8647910000000000E-03
3.4400000000000000E-07,5.7745429576744200E-19,3.1774171761280900E-02,2.7816920000000000E-02,2.7678240000000000E-02,2.4411530000000000E-02,1.9457810000000000E-02,7.4373880000000000E-03,5.0208100000000000E-03,3.3671460000000000E-03,9.7434220000000000E-03
3.4500000000000000E-07,5.7578051520000000E-19,3.2035269286754000E-02,2.9255050000000000E-02,2.6298130000000000E-02,2.5399500000000000E-02,1.8947390000000000E-02,8.0959490000000000E-03,5.3589920000000000E-03,2.9394070000000000E-03,9.2160810000000000E-03
3.4600000000000000E-07,5.7411640966474000E-19,3.1643543668122300E-02,2.9068030000000000E-02,2.7918580000000000E-02,2.5354290000000000E-02,2.0255640000000000E-02,9.1288990000000000E-03,6.3614720000000000E-03,3.4764110000000000E-03,5.9784710000000000E-03
3.4700000000000000E-07,5.7246189551585000E-19,3.1825120087336200E-02,2.9127200000000000E-02,2.7274400000000000E-02,2.4952180000000000E-02,1.9434530000000000E-02,8.6211900000000000E-03,5.9351810000000000E-03,3.4163390000000000E-03,4.1207600000000000E-03
3.4800000000000000E-07,5.7081689006896600E-19,3.1547000000000000E-02,2.8363760000000000E-02,2.7934230000000000E-02,2.4982440000000000E-02,1.9086000000000000E-02,9.4075910000000000E-03,6.4579910000000000E-03,3.6303880000000000E-03,4.8309220000000000E-03
3.4900000000000000E-07,5.6918131158739300E-19,3.1217778020378500E-02,2.8345490000000000E-02,2.6493680000000000E-02,2.5688960000000000E-02,1.9122020000000000E-02,8.8677390000000000E-03,6.5409830000000000E-03,3.3800490000000000E-03,4.3203340000000000E-03
3.5000000000000000E-07,5.6755507926857100E-19,3.1374091305929400E-02,2.8112070000000000E-02,2.7696810000000000E-02,2.6270810000000000E-02,2.0605260000000000E-02,1.0540990000000000E-02,7.3416510000000000E-03,4.0724400000000000E-03,7.3711160000000000E-03
3.5100000000000000E-07,5.6593811323076900E-19,3.1125632957439100E-02,2.7668250000000000E-02,2.8315130000000000E-02,2.5987540000000000E-02,2.2107410000000000E-02,1.0822600000000000E-02,7.6889730000000000E-03,4.1075000000000000E-03,8.5008210000000000E-03
3.5200000000000000E-07,5.6433033450000000E-19,3.1455123726346400E-02,2.7546970000000000E-02,2.7400760000000000E-02,2.6382730000000000E-02,2.1670840000000000E-02,9.0426980000000000E-03,6.3497730000000000E-03,3.7283410000000000E-03,5.3633610000000000E-03
3.5300000000000000E-07,5.6273166499716700E-19,3.1221414332484500E-02,2.7487800000000000E-02,2.8374850000000000E-02,2.7931030000000000E-02,2.1751610000000000E-02,1.0157470000000000E-02,6.9515540000000000E-03,4.5177450000000000E-03,3.2220960000000000E-03
